Purchaser State,Purchaser City,Purchaser Zip,Booking Window,# of Guest Days
New Jersey,BASKING RIDGE,7920,15+ Days,1
New Jersey,BERNARDSVILLE,7924,02 Days,1
New Jersey,CHATHAM,7928,04-7 Days,1
New Jersey,CHATHAM,7928,08-14 Days,4
New Jersey,CHATHAM,7928,15+ Days,6
New Jersey,CHESTER,7930,15+ Days,4
New Jersey,MENDHAM,7945,02 Days,3
New Jersey,MENDHAM,7945,08-14 Days,9
New Jersey,MENDHAM,7945,15+ Days,3
New Jersey,MORRISTOWN,7960,03 Days,1
New Jersey,MORRISTOWN,7960,15+ Days,12
New Jersey,MORRISTOWN,7962,04-7 Days,6
New Jersey,NEW PROVIDENCE,7974,02 Days,2
New Jersey,NEW PROVIDENCE,7974,08-14 Days,3
New Jersey,CHERRY HILL,8002,02 Days,1
New Jersey,CHERRY HILL,8002,03 Days,1
New Jersey,CHERRY HILL,8002,15+ Days,3
New Jersey,CHERRY HILL,8003,04-7 Days,3
New Jersey,CLEMENTON,8021,04-7 Days,6
New Jersey,COLUMBUS,8022,15+ Days,6
New Jersey,HADDONFIELD,8033,04-7 Days,6
New Jersey,CHERRY HILL,8034,02 Days,12
New Jersey,CHERRY HILL,8034,03 Days,3
New Jersey,CHERRY HILL,8034,15+ Days,12
New Jersey,HAINESPORT,8036,08-14 Days,2
New Jersey,HAINESPORT,8036,15+ Days,4
New Jersey,HAMMONTON,8037,15+ Days,12
New Jersey,VOORHEES,8043,15+ Days,4
New Jersey,LUMBERTON,8048,15+ Days,7
New Jersey,MOUNT LAUREL,8054,04-7 Days,4
New Jersey,MOUNT LAUREL,8054,08-14 Days,12
New Jersey,MEDFORD,8055,08-14 Days,5
New Jersey,MEDFORD,8055,15+ Days,7
New Jersey,MOORESTOWN,8057,08-14 Days,2
New Jersey,DELRAN,8075,15+ Days,2
New Jersey,RIVERTON,8077,15+ Days,15
New Jersey,WOOLWICH,8085,02 Days,2
New Jersey,WOOLWICH,8085,15+ Days,4
New Jersey,WENONAH,8090,04-7 Days,2
New Jersey,WEST DEPTFORD,8096,15+ Days,9
New Jersey,CAPE MAY COURT HOUSE,8210,08-14 Days,4
New Jersey,CAPE MAY COURT HOUSE,8210,15+ Days,3
New Jersey,EGG HARBOR TOWNSHIP,8234,08-14 Days,2
New Jersey,VINELAND,8360,08-14 Days,15
New Jersey,VINELAND,8361,03 Days,1
New Jersey,VINELAND,8361,04-7 Days,3
New Jersey,MARGATE,8402,15+ Days,3
New Jersey,VENTNOR,8406,03 Days,1
New Jersey,VENTNOR,8406,04-7 Days,1
New Jersey,HOPEWELL,8525,08-14 Days,3
New Jersey,PLAINSBORO,8536,08-14 Days,3
New Jersey,PRINCETON,8540,02 Days,5
New Jersey,PRINCETON,8540,04-7 Days,6
New Jersey,PRINCETON,8540,15+ Days,6
New Jersey,PRINCETON JUNCTION,8550,04-7 Days,8
New Jersey,RINGIOES,8551,15+ Days,6
New Jersey,TRENTON,8638,03 Days,2
New Jersey,TRENTON,8638,04-7 Days,2
New Jersey,LAWRENCEVILLE,8648,08-14 Days,4
Unknown,BRICK,8724,08-14 Days,3
New Jersey,SEA GIRT,8750,04-7 Days,1
New Jersey,SEA GIRT,8750,15+ Days,4
New Jersey,BRIDGEWATER,8807,04-7 Days,3
New Jersey,BRIDGEWATER,8807,15+ Days,12
New Jersey,EAST BRUNSWICK,8816,02 Days,3
New Jersey,EAST BRUNSWICK,8816,04-7 Days,3
New Jersey,EAST BRUNSWICK,8816,15+ Days,6
New Jersey,EDISON,8820,15+ Days,2
New Jersey,FLEMINGTON,8822,04-7 Days,4
New Jersey,HILLSBOROUGH,8844,15+ Days,8
New Jersey,NESHANIC STATION,8853,02 Days,2
New Jersey,OLD BRIDGE,8857,08-14 Days,3
New Jersey,SOMERSET,8873,02 Days,6
New Jersey,SOMERVILLE,8876,08-14 Days,6
New Jersey,SOMERVILLE,8876,15+ Days,3
New Jersey,SOUTH RIVER,8882,02 Days,3
New Jersey,SPOTSWOOD,8884,03 Days,1
New Jersey,STEWARTSVILLE ,8886,15+ Days,6
New Jersey,WHITEHOUSE STA,8889,02 Days,6
New Jersey,NORTH BRUNSWICK,8902,02 Days,1
New Jersey,NORTH BRUNSWICK,8902,04-7 Days,10
New Jersey,NORTH BRUNSWICK,8902,15+ Days,2
New Jersey,HIGHLAND PARK,8904,02 Days,3
NU,HIGHLAND PARK,8904,02 Days,2
NU,HIGHLAND PARK,8904,08-14 Days,8
New York,NEW YORK,10001,03 Days,2
New York,NEW YORK,10001,04-7 Days,1
New York,NEW YORK,10001,15+ Days,3
New York,NEW YORK,10002,02 Days,2
New York,NEW YORK,10002,08-14 Days,4
New York,NEW YORK,10002,15+ Days,35
New York,NEW YORK,10003,02 Days,12
New York,NEW YORK,10003,03 Days,4
New York,NEW YORK,10003,04-7 Days,15
New York,NEW YORK,10003,08-14 Days,12
New York,NEW YORK,10003,15+ Days,10
New York,NY,10003,04-7 Days,3
New York,NEW YORK,10005,02 Days,8
New York,NEW YORK,10005,03 Days,2
New York,NEW YORK,10005,15+ Days,7
New York,NEW YORK,10006,15+ Days,1
New York,NEW YORK,10007,02 Days,3
New York,NEW YORK,10007,04-7 Days,2
New York,NEW YORK,10007,15+ Days,1
New York,NEW YORK,10009,02 Days,11
New York,NEW YORK,10009,04-7 Days,2
New York,NEW YORK,10009,08-14 Days,12
New York,NEW YORK,10009,15+ Days,5
New York,NEW YORK,10010,02 Days,9
New York,NEW YORK,10010,08-14 Days,2
New York,NEW YORK,10010,15+ Days,9
New York,NEW YORK,10011,02 Days,6
New York,NEW YORK,10011,03 Days,3
New York,NEW YORK,10011,04-7 Days,10
New York,NEW YORK,10011,15+ Days,16
New York,NEW YORK,10012,02 Days,4
New York,NEW YORK,10012,03 Days,1
New York,NEW YORK,10012,04-7 Days,8
New York,NEW YORK,10012,08-14 Days,8
New York,NEW YORK,10012,15+ Days,3
New York,NEW YORK,10013,02 Days,9
New York,NEW YORK,10013,08-14 Days,1
New York,NEW YORK,10013,15+ Days,4
New York,NY,10013,04-7 Days,6
New York,NY,10013,15+ Days,3
New York,NEW YORK,10014,03 Days,11
New York,NEW YORK,10014,04-7 Days,12
New York,NEW YORK,10014,08-14 Days,18
New York,NEW YORK,10014,15+ Days,14
Nevada,NEW YORK,10016,15+ Days,6
New York,NEW YORK,10016,02 Days,5
New York,NEW YORK,10016,04-7 Days,7
New York,NEW YORK,10016,08-14 Days,2
New York,NEW YORK,10016,15+ Days,15
New York,NEW YORK ,10016,04-7 Days,3
New York,NEW YORK,10017,03 Days,5
New York,NEW YORK,10017,04-7 Days,1
New York,NEW YORK,10017,08-14 Days,3
New York,NEW YORK,10017,15+ Days,3
New York,NEW YORK,10019,02 Days,10
New York,NEW YORK,10019,03 Days,4
New York,NEW YORK,10019,04-7 Days,6
New York,NEW YORK,10019,08-14 Days,10
New York,NEW YORK,10019,15+ Days,9
New York,NEW YORK,10021,03 Days,1
New York,NEW YORK,10021,04-7 Days,27
New York,NEW YORK,10021,08-14 Days,6
New York,NEW YORK,10022,02 Days,3
New York,NEW YORK,10022,03 Days,2
New York,NEW YORK,10022,04-7 Days,8
New York,NEW YORK,10022,08-14 Days,2
New York,NEW YORK,10022,15+ Days,9
New York,NEW YORK,10023,02 Days,2
New York,NEW YORK,10023,03 Days,7
New York,NEW YORK,10023,04-7 Days,10
New York,NEW YORK,10023,08-14 Days,8
New York,NEW YORK,10023,15+ Days,18
New York,NEW YORK,10024,02 Days,13
New York,NEW YORK,10024,03 Days,7
New York,NEW YORK,10024,04-7 Days,13
New York,NEW YORK,10024,08-14 Days,3
New York,NEW YORK,10024,15+ Days,16
