ZIP CODE,STATE,MSA Name
46740,IN,IN NONMETROPOLITAN AREA
46741,IN,"Fort Wayne, IN MSA"
46742,IN,IN NONMETROPOLITAN AREA
46743,IN,"Fort Wayne, IN MSA"
46745,IN,"Fort Wayne, IN MSA"
46746,IN,IN NONMETROPOLITAN AREA
46747,IN,IN NONMETROPOLITAN AREA
46748,IN,"Fort Wayne, IN MSA"
46750,IN,IN NONMETROPOLITAN AREA
46755,IN,IN NONMETROPOLITAN AREA
46759,IN,"Fort Wayne, IN MSA"
46760,IN,IN NONMETROPOLITAN AREA
46761,IN,IN NONMETROPOLITAN AREA
46763,IN,IN NONMETROPOLITAN AREA
46764,IN,"Fort Wayne, IN MSA"
46765,IN,"Fort Wayne, IN MSA"
46766,IN,"Fort Wayne, IN MSA"
46767,IN,IN NONMETROPOLITAN AREA
46769,IN,IN NONMETROPOLITAN AREA
46770,IN,IN NONMETROPOLITAN AREA
46771,IN,IN NONMETROPOLITAN AREA
46772,IN,IN NONMETROPOLITAN AREA
46773,IN,"Fort Wayne, IN MSA"
46774,IN,"Fort Wayne, IN MSA"
46776,IN,IN NONMETROPOLITAN AREA
46777,IN,"Fort Wayne, IN MSA"
46778,IN,"Fort Wayne, IN MSA"
46779,IN,IN NONMETROPOLITAN AREA
46780,IN,IN NONMETROPOLITAN AREA
46781,IN,"Fort Wayne, IN MSA"
46782,IN,IN NONMETROPOLITAN AREA
46783,IN,IN NONMETROPOLITAN AREA
46784,IN,IN NONMETROPOLITAN AREA
46785,IN,IN NONMETROPOLITAN AREA
46786,IN,IN NONMETROPOLITAN AREA
46787,IN,"Fort Wayne, IN MSA"
46788,IN,IN NONMETROPOLITAN AREA
46789,IN,IN NONMETROPOLITAN AREA
46791,IN,"Fort Wayne, IN MSA"
46792,IN,IN NONMETROPOLITAN AREA
46793,IN,IN NONMETROPOLITAN AREA
46794,IN,IN NONMETROPOLITAN AREA
46795,IN,IN NONMETROPOLITAN AREA
46796,IN,IN NONMETROPOLITAN AREA
46797,IN,"Fort Wayne, IN MSA"
46798,IN,"Fort Wayne, IN MSA"
46799,IN,"Fort Wayne, IN MSA"
46801,IN,"Fort Wayne, IN MSA"
46802,IN,"Fort Wayne, IN MSA"
46803,IN,"Fort Wayne, IN MSA"
46804,IN,"Fort Wayne, IN MSA"
46805,IN,"Fort Wayne, IN MSA"
46806,IN,"Fort Wayne, IN MSA"
46807,IN,"Fort Wayne, IN MSA"
46808,IN,"Fort Wayne, IN MSA"
46809,IN,"Fort Wayne, IN MSA"
46814,IN,"Fort Wayne, IN MSA"
46815,IN,"Fort Wayne, IN MSA"
46816,IN,"Fort Wayne, IN MSA"
46818,IN,"Fort Wayne, IN MSA"
46819,IN,"Fort Wayne, IN MSA"
46825,IN,"Fort Wayne, IN MSA"
46835,IN,"Fort Wayne, IN MSA"
46845,IN,"Fort Wayne, IN MSA"
46850,IN,"Fort Wayne, IN MSA"
46851,IN,"Fort Wayne, IN MSA"
46852,IN,"Fort Wayne, IN MSA"
46853,IN,"Fort Wayne, IN MSA"
46854,IN,"Fort Wayne, IN MSA"
46855,IN,"Fort Wayne, IN MSA"
46856,IN,"Fort Wayne, IN MSA"
46857,IN,"Fort Wayne, IN MSA"
46858,IN,"Fort Wayne, IN MSA"
46859,IN,"Fort Wayne, IN MSA"
46860,IN,"Fort Wayne, IN MSA"
46861,IN,"Fort Wayne, IN MSA"
46862,IN,"Fort Wayne, IN MSA"
46863,IN,"Fort Wayne, IN MSA"
46864,IN,"Fort Wayne, IN MSA"
46865,IN,"Fort Wayne, IN MSA"
46866,IN,"Fort Wayne, IN MSA"
46867,IN,"Fort Wayne, IN MSA"
46868,IN,"Fort Wayne, IN MSA"
46869,IN,"Fort Wayne, IN MSA"
46885,IN,"Fort Wayne, IN MSA"
46895,IN,"Fort Wayne, IN MSA"
46896,IN,"Fort Wayne, IN MSA"
46897,IN,"Fort Wayne, IN MSA"
46898,IN,"Fort Wayne, IN MSA"
46899,IN,"Fort Wayne, IN MSA"
46901,IN,"Kokomo, IN MSA"
46902,IN,"Kokomo, IN MSA"
46903,IN,"Kokomo, IN MSA"
46904,IN,"Kokomo, IN MSA"
46910,IN,IN NONMETROPOLITAN AREA
46911,IN,IN NONMETROPOLITAN AREA
46912,IN,IN NONMETROPOLITAN AREA
46913,IN,"Lafayette, IN MSA"
46914,IN,IN NONMETROPOLITAN AREA
46915,IN,"Lafayette, IN MSA"
46916,IN,"Lafayette, IN MSA"
46917,IN,"Lafayette, IN MSA"
46919,IN,IN NONMETROPOLITAN AREA
46920,IN,"Lafayette, IN MSA"
46921,IN,IN NONMETROPOLITAN AREA
46922,IN,IN NONMETROPOLITAN AREA
46923,IN,"Lafayette, IN MSA"
46926,IN,IN NONMETROPOLITAN AREA
46928,IN,IN NONMETROPOLITAN AREA
46929,IN,"Lafayette, IN MSA"
46930,IN,IN NONMETROPOLITAN AREA
46931,IN,IN NONMETROPOLITAN AREA
46932,IN,IN NONMETROPOLITAN AREA
46933,IN,IN NONMETROPOLITAN AREA
46935,IN,IN NONMETROPOLITAN AREA
46936,IN,"Kokomo, IN MSA"
46937,IN,"Kokomo, IN MSA"
46938,IN,IN NONMETROPOLITAN AREA
46939,IN,IN NONMETROPOLITAN AREA
46940,IN,IN NONMETROPOLITAN AREA
46941,IN,IN NONMETROPOLITAN AREA
46942,IN,IN NONMETROPOLITAN AREA
46943,IN,IN NONMETROPOLITAN AREA
